dataset,id,key,letter,length,source,sublibrary,n_missing,missing_fields,n_suspicious,suspicious_fields,suspicious_notes
rfam_pdb130,RF00356:Small_nucleolar_RNA_R32_R81_Z41:AY707463.1_3-93,RF00356_Small_nucleolar_RNA_R32_R81_Z41_AY707463_1_3-93_f526e2,,91,RFAM-PDB 130,,3,near_title|best_tm1|near,0,,
rfam_pdb130,RF00274:Small_nucleolar_RNA_SNORD57:X96656.1_1-72,RF00274_Small_nucleolar_RNA_SNORD57_X96656_1_1-72_6ec2de,,72,RFAM-PDB 130,,3,near_title|best_tm1|near,0,,
rfam_pdb130,RF01539:Trypanosomatid_snoRNA_TB11Cs4H1:FR796423.1_375700-375630,RF01539_Trypanosomatid_snoRNA_TB11Cs4H1_FR796423_1_375700-375630_9289be,,71,RFAM-PDB 130,,3,near_title|best_tm1|near,0,,
rfam_pdb130,RF03509:mir-4660_microRNA_precursor_family:URS000075EFF1_9606_1-74,RF03509_mir-4660_microRNA_precursor_family_URS000075EFF1_9606_1-74_f8095d,,74,RFAM-PDB 130,,3,near_title|best_tm1|near,0,,
rfam_pdb130,RF00989:microRNA_mir-492:URS0000476A52_9606_23-97,RF00989_microRNA_mir-492_URS0000476A52_9606_23-97_de68f4,,75,RFAM-PDB 130,,3,near_title|best_tm1|near,0,,
rfam_pdb130,RF01103:Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR:AF146278.1_6828-6856,RF01103_Pseudoknot_of_upstream_pseudoknot_domain__UPD__of_the_3_UTR_AF_fb0b65,,29,RFAM-PDB 130,,3,near_title|best_tm1|near,0,,
rfam_pdb130,RF01111:Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR:AJ749657.1_3076-3096,RF01111_Pseudoknot_of_upstream_pseudoknot_domain__UPD__of_the_3_UTR_AJ_960712,,21,RFAM-PDB 130,,2,overhang3|overhang5,0,,
rfam_pdb130,RF01763:Guanidine-III_riboswitch_aptamer_(yKKC-III):URS0000CBFF2B_2021_1-41,RF01763_Guanidine-III_riboswitch_aptamer__yKKC-III_URS0000CBFF2B_2021__414e0f,,41,RFAM-PDB 130,,2,overhang3|overhang5,0,,
rfam_pdb130,RF01109:Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR:AF146278.1_6806-6826,RF01109_Pseudoknot_of_upstream_pseudoknot_domain__UPD__of_the_3_UTR_AF_2cf585,,21,RFAM-PDB 130,,2,overhang3|overhang5,0,,
rfam_pdb130,RF03054:Xanthine_riboswitch_aptamer_(NMT1_RNA):URS00023119C1_137716_1-45,RF03054_Xanthine_riboswitch_aptamer__NMT1_RNA_URS00023119C1_137716_1-4_9bf152,,45,RFAM-PDB 130,,0,,0,,
rfam_pdb130,RF01382:HIV-1_stem-loop_4_packaging_signal:AJ251056.1_3-22,RF01382_HIV-1_stem-loop_4_packaging_signal_AJ251056_1_3-22_36fa18,,20,RFAM-PDB 130,,0,,0,,
rfam_pdb130,RF01106:Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR:AJ012005.1_6980-7004,RF01106_Pseudoknot_of_upstream_pseudoknot_domain__UPD__of_the_3_UTR_AJ_d5a4c4,,25,RFAM-PDB 130,,2,overhang3|overhang5,0,,
rfam_pdb130,RF01083:Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR:AM055643.1_1046-1066,RF01083_Pseudoknot_of_upstream_pseudoknot_domain__UPD__of_the_3_UTR_AM_bab751,,21,RFAM-PDB 130,,2,overhang3|overhang5,0,,
