dataset,id,key,letter,length,source,sublibrary,n_missing,missing_fields,n_suspicious,suspicious_fields,suspicious_notes
ribo2,5932026-ribonanza2a,,A,22,AE_synthetic,gRNAde_Designs,11,member_dbs|rfam_name|rnacentral_name|openknot|rna_type|overlap_global_fold_id|score|mean_prot_2a3|rfam_id|overlap_ae|rnacentral_id,0,,
ribo2,5164112-ribonanza2a,,A,25,AE_synthetic,gRNAde_Designs,9,member_dbs|rfam_name|rnacentral_name|openknot|rna_type|overlap_global_fold_id|rfam_id|overlap_ae|rnacentral_id,0,,
ribo2,5355308-ribonanza2e,,E,20,AE_synthetic,gRNAde_Designs,9,member_dbs|rfam_name|rnacentral_name|openknot|rna_type|overlap_global_fold_id|rfam_id|overlap_ae|rnacentral_id,0,,
ribo2,2772540-ribonanza2f,,F,23,FGH_natural,RNAcentral_130_dedup,5,rfam_name|shape_agr|mean_prot_2a3|rfam_id|r2a3,0,,
ribo2,6825090-ribonanza2a,,A,21,AE_synthetic,gRNAde_Designs,11,member_dbs|rfam_name|rnacentral_name|openknot|rna_type|overlap_global_fold_id|score|mean_prot_2a3|rfam_id|overlap_ae|rnacentral_id,0,,
ribo2,7798112-ribonanza2a,,A,21,AE_synthetic,gRNAde_Designs,9,member_dbs|rfam_name|rnacentral_name|openknot|rna_type|overlap_global_fold_id|rfam_id|overlap_ae|rnacentral_id,0,,
ribo2,6381599-ribonanza2a,,A,27,AE_synthetic,gRNAde_Designs,9,member_dbs|rfam_name|rnacentral_name|openknot|rna_type|overlap_global_fold_id|rfam_id|overlap_ae|rnacentral_id,0,,
ribo2,1415955-ribonanza2e,,E,29,AE_synthetic,gRNAde_Designs,11,member_dbs|rfam_name|rnacentral_name|openknot|rna_type|overlap_global_fold_id|rfam_id|overhang3|overlap_ae|overhang5|rnacentral_id,0,,
ribo2,6706804-ribonanza2b,,B,33,AE_synthetic,gRNAde_Designs,11,member_dbs|rfam_name|rnacentral_name|openknot|rna_type|overlap_global_fold_id|score|mean_prot_2a3|rfam_id|overlap_ae|rnacentral_id,0,,
ribo2,1733934-ribonanza2f,,F,31,FGH_natural,RNAcentral_130_dedup,5,rfam_name|shape_agr|mean_prot_2a3|rfam_id|r2a3,0,,
ribo2,5963544-ribonanza2d,,D,23,AE_synthetic,gRNAde_Designs,11,member_dbs|rfam_name|rnacentral_name|openknot|rna_type|overlap_global_fold_id|score|mean_prot_2a3|rfam_id|overlap_ae|rnacentral_id,0,,
