dataset,id,key,letter,length,source,sublibrary,n_missing,missing_fields,n_suspicious,suspicious_fields,suspicious_notes
openknot,W02_13198268_5pad6_libraryready,W02_13198268_5pad6_libraryready_f95ad9,,89,OpenKnot,,0,,0,,
openknot,W02_13205810_5pad6_libraryready,W02_13205810_5pad6_libraryready_82aa2c,,89,OpenKnot,,0,,0,,
openknot,W02_13199365_5pad6_libraryready,W02_13199365_5pad6_libraryready_c3a15f,,89,OpenKnot,,0,,0,,
openknot,W02_42A_5pad6_libraryready,W02_42A_5pad6_libraryready_3dbbde,,89,OpenKnot,,0,,0,,
openknot,W02_13198607_5pad6_libraryready,W02_13198607_5pad6_libraryready_a99898,,89,OpenKnot,,0,,0,,
openknot,gRNAde_A3_W02_5pad6_libraryready,gRNAde_A3_W02_5pad6_libraryready_874880,,89,OpenKnot,,0,,0,,
openknot,W02_13198583_5pad6_libraryready,W02_13198583_5pad6_libraryready_b631e1,,89,OpenKnot,,0,,0,,
openknot,W02_13198234_5pad6_libraryready,W02_13198234_5pad6_libraryready_08b024,,89,OpenKnot,,0,,0,,
openknot,W02_13198565_5pad6_libraryready,W02_13198565_5pad6_libraryready_cdc0d4,,89,OpenKnot,,0,,0,,
openknot,W02_13198571_5pad6_libraryready,W02_13198571_5pad6_libraryready_fd9438,,89,OpenKnot,,0,,0,,
openknot,gRNAde_A6_W02_5pad6_libraryready,gRNAde_A6_W02_5pad6_libraryready_d1898c,,89,OpenKnot,,0,,0,,
openknot,W02_13198573_5pad6_libraryready,W02_13198573_5pad6_libraryready_ed263f,,89,OpenKnot,,0,,0,,
openknot,W02_13198605_5pad6_libraryready,W02_13198605_5pad6_libraryready_e3586c,,89,OpenKnot,,0,,0,,
openknot,W02_13198611_5pad6_libraryready,W02_13198611_5pad6_libraryready_cfa6c3,,89,OpenKnot,,0,,0,,
openknot,W02_13208191_5pad6_libraryready,W02_13208191_5pad6_libraryready_8ba477,,89,OpenKnot,,0,,0,,
openknot,W02_13198601_5pad6_libraryready,W02_13198601_5pad6_libraryready_0ccc40,,89,OpenKnot,,0,,0,,
openknot,W02_13198615_5pad6_libraryready,W02_13198615_5pad6_libraryready_ef7cfd,,89,OpenKnot,,0,,0,,
openknot,W02_55U_5pad6_libraryready,W02_55U_5pad6_libraryready_b99ac2,,89,OpenKnot,,0,,0,,
openknot,W02_13199085_5pad6_libraryready,W02_13199085_5pad6_libraryready_ac9751,,89,OpenKnot,,0,,0,,
openknot,W02_13202449_5pad6_libraryready,W02_13202449_5pad6_libraryready_d0e199,,89,OpenKnot,,0,,0,,
openknot,W02_13202451_5pad6_libraryready,W02_13202451_5pad6_libraryready_78fa0f,,89,OpenKnot,,0,,0,,
openknot,W02_13206762_5pad6_libraryready,W02_13206762_5pad6_libraryready_bce790,,89,OpenKnot,,0,,0,,
openknot,W02_52U_5pad6_libraryready,W02_52U_5pad6_libraryready_346667,,89,OpenKnot,,0,,0,,
openknot,W02_13198101_5pad6_libraryready,W02_13198101_5pad6_libraryready_43c570,,89,OpenKnot,,0,,0,,
