dataset,id,key,letter,length,source,sublibrary,n_missing,missing_fields,n_suspicious,suspicious_fields,suspicious_notes
pseudolabels,2545fea379f4,2545fea379f4_1bfa27,,52,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,5947a7d5d305,5947a7d5d305_5ccb2f,,51,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,ce0bcf337998,ce0bcf337998_6e9900,,33,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,75f65987f539,75f65987f539_cc6c2d,,21,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,b38a8f63b3e8,b38a8f63b3e8_ad1808,,26,Ribo-1 pseudolabel,,2,overhang3|overhang5,0,,
pseudolabels,a2caa3160edb,a2caa3160edb_139735,,26,Ribo-1 pseudolabel,,2,overhang3|overhang5,0,,
pseudolabels,661cf1775d7c,661cf1775d7c_045eea,,36,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,ee6ad6ca1924,ee6ad6ca1924_c8ee68,,28,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,3dd4b683d186,3dd4b683d186_428875,,34,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,c5dd6c679ecf,c5dd6c679ecf_41e815,,41,Ribo-1 pseudolabel,,2,overhang3|overhang5,0,,
pseudolabels,e718644ff724,e718644ff724_72e531,,41,Ribo-1 pseudolabel,,2,overhang3|overhang5,0,,
pseudolabels,d63a983eac4a,d63a983eac4a_192d78,,41,Ribo-1 pseudolabel,,2,overhang3|overhang5,0,,
pseudolabels,0730cddbac06,0730cddbac06_71dc3e,,41,Ribo-1 pseudolabel,,2,overhang3|overhang5,0,,
pseudolabels,ad04b1561972,ad04b1561972_cd7bc1,,41,Ribo-1 pseudolabel,,2,overhang3|overhang5,0,,
pseudolabels,954ae460cc62,954ae460cc62_ec0653,,48,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,636a20c7d8ac,636a20c7d8ac_43bcb9,,41,Ribo-1 pseudolabel,,2,overhang3|overhang5,0,,
pseudolabels,cd734053eb59,cd734053eb59_c12c72,,41,Ribo-1 pseudolabel,,2,overhang3|overhang5,0,,
pseudolabels,73a04a58df40,73a04a58df40_81abd7,,34,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,ebacf5aa7387,ebacf5aa7387_257996,,41,Ribo-1 pseudolabel,,2,overhang3|overhang5,0,,
pseudolabels,42c312b764c0,42c312b764c0_4f9d77,,41,Ribo-1 pseudolabel,,2,overhang3|overhang5,0,,
pseudolabels,4ff0c43e33cf,4ff0c43e33cf_925450,,35,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,8da28a104538,8da28a104538_13e06c,,28,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,b0f313abd313,b0f313abd313_7ab170,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,fe6d1f497ab3,fe6d1f497ab3_7b93f8,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,b3f9b7c575be,b3f9b7c575be_162a0c,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,0e0f47a2ad02,0e0f47a2ad02_e312bf,,23,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,287bce19624b,287bce19624b_ed0560,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,93ffef08625e,93ffef08625e_a47006,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,53ec59822ceb,53ec59822ceb_8a16d6,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,9202ef852245,9202ef852245_dd6890,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,1b3adc71975c,1b3adc71975c_bc638f,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,21a4199b5339,21a4199b5339_edc6fd,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,a8ea29be3fe1,a8ea29be3fe1_924a92,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,54790ec58b56,54790ec58b56_741d5f,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,b0e869ca25d0,b0e869ca25d0_8f248b,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,f9f924534667,f9f924534667_ac83e0,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,a38bb7b29a70,a38bb7b29a70_d316ae,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,83d739e50ea4,83d739e50ea4_81a03c,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,a2066b6ebd46,a2066b6ebd46_5fdc65,,30,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,7309bccb441d,7309bccb441d_882de8,,30,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,9ed97df60076,9ed97df60076_387980,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,d7a2f2d4b9cc,d7a2f2d4b9cc_68fd27,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,82dc5665f948,82dc5665f948_426db9,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,b690ae476345,b690ae476345_e25532,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,5b476c7acb0a,5b476c7acb0a_fa3e42,,22,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,f30ad3f0c580,f30ad3f0c580_1785e9,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,99a6b67e2289,99a6b67e2289_e269df,,35,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,a90d9d64e882,a90d9d64e882_50e881,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,4d8f32395664,4d8f32395664_dc74a8,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,b1c29a312231,b1c29a312231_7bd505,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,c997740e57a9,c997740e57a9_5e451b,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,2da88792f925,2da88792f925_85abde,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,1d71076c9796,1d71076c9796_170d8b,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,4b8e4fbbbe82,4b8e4fbbbe82_08d62e,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,04c9440328da,04c9440328da_2148f7,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,7be1d074df19,7be1d074df19_02716a,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,d133bf43a4fa,d133bf43a4fa_325d1f,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,d1803706f887,d1803706f887_9b84cf,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,95946fb836ac,95946fb836ac_7b6891,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,e931f876d314,e931f876d314_e72660,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,f9babf9a9ed8,f9babf9a9ed8_128ce7,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,12870933e887,12870933e887_abac84,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,c1bc71c55dcf,c1bc71c55dcf_18e129,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,4b31abe6a4aa,4b31abe6a4aa_1ed10d,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,7b469e424c5f,7b469e424c5f_54b054,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,e9a1f04c10ea,e9a1f04c10ea_090941,,22,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,95544b4b07ac,95544b4b07ac_7e9180,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,28816831f216,28816831f216_6e6bdc,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,b5d538c7e221,b5d538c7e221_ffab5f,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,f5eaf2862d90,f5eaf2862d90_898d10,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,c3c33543d463,c3c33543d463_376d08,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,c5cac9f28acb,c5cac9f28acb_257932,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,a4df40298d34,a4df40298d34_4fc85c,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,db1af7f03d63,db1af7f03d63_d35c20,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,207418d55fef,207418d55fef_1cda65,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,b03f34a19dbd,b03f34a19dbd_6a56e6,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,19492dda8bab,19492dda8bab_8eed11,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,683327e8054e,683327e8054e_9ebe03,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,ed0e27bf09d3,ed0e27bf09d3_2cfd62,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,59d64c5670ff,59d64c5670ff_3d66a9,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,1083d1064dce,1083d1064dce_41cfcf,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,a77dd383dbae,a77dd383dbae_5542f7,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,69f8279d34a1,69f8279d34a1_793238,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,62b1764f8a90,62b1764f8a90_fe76a0,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,764a5df953a2,764a5df953a2_cec205,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,7d6a101f4cce,7d6a101f4cce_3fd8ea,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,f70d90bb7131,f70d90bb7131_2e7145,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,f3b5c868920a,f3b5c868920a_716d83,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,81275521ab4c,81275521ab4c_036604,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,a37523af10a2,a37523af10a2_b96f28,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,97870ea0040e,97870ea0040e_da8b72,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,a0816e8c98fd,a0816e8c98fd_edd8e0,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,2c62d7a77a9b,2c62d7a77a9b_3b7df4,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,27c285e98625,27c285e98625_8d82a2,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,7be45dfe911e,7be45dfe911e_bbc9ff,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,7379af8fb1a5,7379af8fb1a5_05500a,,94,Ribo-1 pseudolabel,,0,,0,,
pseudolabels,8d921151e091,8d921151e091_0111e7,,94,Ribo-1 pseudolabel,,0,,0,,
